title,region,startYear,runtimeMinutes,genres,averageRating,numVotes,tconst,nconst,category,pname,byear,kftitles,Thriller,History,Comedy,Romance,Western,Sci-Fi,News,Family,Drama,Musical,Biography,Adventure,Horror,War,Animation,Action,Sport,Music,Documentary,Crime,Mystery,Fantasy,region_num,nconst_num,category_num
Hostiles,FR,2017.0,134.0,"Drama,Western",7.2,82259,tt5478478,nm0683253,actress,Rosamund Pike,1979,"tt0246460,tt0790724,tt0414387,tt2267998",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4128,0
Border,FR,2018.0,110.0,"Crime,Drama,Fantasy",7.0,28729,tt5501104,nm0678472,actress,Ann Petrén,1954,"tt0347457,tt5501104,tt1821449,tt0439695",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9679,0
Queens,FR,2019.0,110.0,"Comedy,Crime,Drama",6.3,95992,tt5503686,nm0000182,actress,Jennifer Lopez,1969,"tt0252076,tt2126357,tt0120780,tt5503686",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2655,0
The Unnamed,US,2016.0,100.0,Drama,9.0,4983,tt5510934,nm2609716,director,Tauquir Ahmed,1965,"tt5510934,tt5624838,tt5523594,tt1000111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9392,1
Ghost Stories,FR,2017.0,98.0,"Drama,Horror",6.4,34011,tt5516328,nm3890987,actor,Samuel Bottomley,2001,"tt6636246,tt9735758,tt5516328,tt1204340",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9684,2
Bright,FR,2017.0,117.0,"Action,Fantasy,Thriller",6.3,184682,tt5519340,nm0043742,director,David Ayer,1968,"tt0433387,tt1386697,tt1855199,tt1742334",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5671,1
Casse-Noisette et les Quatre Royaumes,FR,2018.0,99.0,"Adventure,Family,Fantasy",5.5,32944,tt5523010,nm0000545,actress,Helen Mirren,1945,"tt1245526,tt0975645,tt0280707,tt0436697",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,38,0
Beggar,US,2016.0,130.0,"Action,Drama,Thriller",7.6,2059,tt5523174,nm2537099,actor,Vijay Antony,1974,"tt5523174,tt2331167,tt1570732,tt2326758",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9687,2
The Meyerowitz Stories (New and Selected),FR,2017.0,112.0,"Comedy,Drama",6.9,47804,tt5536736,nm0000163,actor,Dustin Hoffman,1937,"tt0064665,tt0061722,tt0095953,tt0084805",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,2
To the Bone,FR,2017.0,107.0,Drama,6.8,47655,tt5541240,nm2796058,actress,Rebekah Kennedy,1984,"tt0452046,tt0203259,tt5541240,tt7053188",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9690,0
Konstytucja,PL,2016.0,93.0,"Comedy,Drama",7.6,2857,tt5545674,nm0322977,actor,Nebojsa Glogovac,1969,"tt0209180,tt0855822,tt5545674,tt5207158",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2953,2
Life Begins Now,GB,2017.0,84.0,"Drama,Romance",8.9,2212,tt5552086,nm3185931,actress,Kojii Helnwein,1981,"tt5713798,tt2408982,tt4276624,tt5552086",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9694,0
Maanagaram,US,2017.0,137.0,"Action,Thriller",8.1,5397,tt5559528,nm5294556,actress,Regina Cassandra,1988,"tt7797658,tt10152736,tt6087086,tt14888278",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6953,0
Le Dragon-Génie,FR,2021.0,98.0,"Adventure,Animation,Comedy",7.2,24299,tt5562070,nm4136296,actor,Jimmy Wong,1987,"tt1783732,tt5562070,tt4566758,tt2170584",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9695,2
L'art du mensonge,FR,2019.0,109.0,"Crime,Drama,Mystery",6.7,39492,tt5563334,nm0174374,director,Bill Condon,1955,"tt0443489,tt0299658,tt0362269,tt0120684",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3216,1
Pink,AU,2016.0,136.0,"Crime,Drama,Thriller",8.1,44050,tt5571734,nm3966456,actress,Taapsee Pannu,1987,"tt11027830,tt5571734,tt8130968,tt10964430",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23,7095,0
"Moi, Tonya",FR,2017.0,119.0,"Biography,Comedy,Drama",7.5,207802,tt5580036,nm0005049,actress,Allison Janney,1959,"tt0467406,tt1454029,tt0427327,tt0274558",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3564,0
The Hate U Give: La haine qu'on donne,FR,2018.0,133.0,"Crime,Drama",7.4,35391,tt5580266,nm1107001,actor,Anthony Mackie,1978,"tt1385826,tt3498820,tt1843866,tt0887912",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5786,2
La Forme de l'eau,FR,2017.0,123.0,"Drama,Fantasy,Romance",7.3,407531,tt5580390,nm1020089,actress,Sally Hawkins,1976,"tt5580390,tt3721954,tt2334873,tt1045670",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6914,0
