|tconst|nconst|name|french_title|byear|job|startyear|runtimeminutes|averagerating|numvotes|wr_score|genres|original_lang
1083436|tt0443844|nm0308042|Philippe Garrel|Les Amants réguliers|1948.0|writer,director,editor|2005.0|183.0|6.8|2838|6.785828241899296|Drama,Romance|fr
1084164|tt0052738|nm0828419|George Stevens|Le Journal d'Anne Frank|1904.0|cinematographer,director,writer|1959.0|180.0|7.4|12671|7.393803025738171|Biography,Drama,Family|en
1085002|tt0191246|nm0258477|Jean Epstein|Le lion des Mogols|1897.0|director,writer,production_manager|1924.0|102.0|6.6|138|6.4581479092032765|Drama,Romance|fr
1085452|tt1265990|nm1015262|Leighton Meester|The Roommate|1986.0|actress,soundtrack|2011.0|94.0|4.8|38322|4.802211481822323|Thriller|en
1087544|tt0053459|nm0290802|Georges Franju|Les Yeux sans visage|1912.0|director,writer,composer|1960.0|90.0|7.6|30833|7.597038054432608|Drama,Horror|fr
1088327|tt0096028|nm0619762|Mira Nair|Salaam Bombay!|1957.0|director,producer,actress|1988.0|113.0|7.9|9280|7.888182353606965|Crime,Drama|hi
1088478|tt0070239|nm0422484|Norman Jewison|Jesus Christ Superstar|1926.0|producer,director,actor|1973.0|106.0|7.3|26712|7.297288057133515|Drama,History,Musical|en
1089447|tt0046268|nm0167241|Henri-Georges Clouzot|Le Salaire de la peur|1907.0|writer,director,producer|1953.0|131.0|8.2|59758|8.197838346563076|Adventure,Drama,Thriller|fr
1089521|tt0034093|nm0344927|Jean Grémillon|Remorques|1898.0|director,writer,composer|1941.0|91.0|7.2|1140|7.1448775808394505|Action,Drama,Romance|fr
1089538|tt0046911|nm0167241|Henri-Georges Clouzot|Les Diaboliques|1907.0|writer,director,producer|1955.0|117.0|8.1|65038|8.098110439620742|Crime,Drama,Horror|fr
1089566|tt0046911|nm0797531|Simone Signoret|Les Diaboliques|1921.0|actress|1955.0|117.0|8.1|65038|8.098110439620742|Crime,Drama,Horror|fr
1090161|tt0091507|nm0034079|Pierre Arditi|Mélo|1944.0|actor,miscellaneous,director|1986.0|112.0|7.0|1546|6.966617607053983|Drama,Romance|fr
1090288|tt0052893|nm0243921|Marguerite Duras|Hiroshima mon amour|1914.0|writer,director,actress|1959.0|90.0|7.9|31271|7.896476279113738|Drama,Romance|fr
1090304|tt0052893|nm0720297|Alain Resnais|Hiroshima mon amour|1922.0|director,editor,writer|1959.0|90.0|7.9|31271|7.896476279113738|Drama,Romance|fr
1092423|tt2207050|nm0524528|Fabrice Luchini|Alceste à bicyclette|1951.0|actor,writer,producer|2013.0|104.0|6.6|2962|6.590574456115656|Comedy,Drama|fr
1093405|tt0454848|nm0654110|Clive Owen|Inside Man : l'Homme de l'Intérieur|1964.0|actor,producer,soundtrack|2006.0|129.0|7.6|364421|7.599748926509118|Crime,Drama,Mystery|en
1094160|tt1231583|nm0302108|Zach Galifianakis|Date Limite|1969.0|actor,writer,producer|2010.0|95.0|6.5|338580|6.499934408004151|Comedy,Drama|en
1098509|tt0056085|nm0368871|Henry Hathaway|La Conquête de l'Ouest|1898.0|director,assistant_director,art_department|1962.0|164.0|7.0|20584|6.997398543601969|Western|en
1098916|tt0064040|nm0893341|Lino Ventura|L'Armée des ombres|1919.0|actor,soundtrack|1969.0|145.0|8.1|23118|8.094693401050423|Drama,War|fr
1100308|tt2726560|nm2207222|Scott Eastwood|Chemins croisés|1986.0|actor,producer,miscellaneous|2015.0|123.0|7.1|81591|7.099265041880984|Comedy,Drama,Romance|en
